rest,type,address,address_info,number,site,info,img_url,Mon,Tue,Wen,Thu,Fri,Sat,Sun,lat,lng
왕눈이실내포차 진주칠암점,한식,경남 진주시 동진로20번길 9-6 왕눈이실내포차 칠암직영점,"찾아가는길<자차 이용시> 진주시외버스터미널에서 자차로 5분 소요됩니다. 네비게이션에 '경상남도 진주시 동진로 20번길 9-6 검색하시고 도착하면 1층 왕눈이실내포차가 있습니다. 자차로 진주IC에서 10분 , 진주시청에서 5분정도 소요됩니다. <도보> 진주고속버스터미널에서 도보 1...내용 더보기",0507-1429-1408,https://www.instagram.com/wangnoon2_chilam,"단체 이용 가능, 배달, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 간편결제, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240605_299%2F1717525323905pMHmI_JPEG%2FP20240525_212632784_E5F76DDF-15BA-4728-9EC7-FF49C0C0E4E2.jpg,월18:00 - 03:00,화18:00 - 03:00,수18:00 - 03:00,목18:00 - 03:00,금18:00 - 03:00,토18:00 - 03:00,일18:00 - 03:00,35.1781683,128.0939894
오름 진주칠암본점,양식,경남 진주시 강남로167번길 26 1층,찾아가는길[자차이용시] 네비검색 : 진주시 강남로167번길 26 [도보이용시] 경상국립대학교칠암캠퍼스 후문에 위치해 있으며 이제마스터디카페 옆건물에 위치해있습니다.내용 더보기,0507-1363-3249,https://www.instagram.com/oreum_jinju?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,"단체 이용 가능, 예약, 대기공간",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEyMTVfMTQ2%2FMDAxNzM0MjQ4NDAzMTUz.YSGz0OzbhA14lflY7lSsrLVG5fCCyeXWM9-3QAXjjx4g.fSGQv97KJ7o5mGrz0UncS0vb8YhbpkudjMv059dLYUEg.JPEG%2FIMG_3565.jpg,"매일11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더",,,,,,,35.1825291,128.0930607
은성게장더크랩,게요리,경남 진주시 진주대로920번길 11-1 1층 은성게장더크랩,찾아가는길진주 세무서뒤 미르치과 뒤 만나는 지점 입니다. 큰 대로변에 있어 더욱 찾기가 쉬워 졌습니다.,0507-1415-7748,https://www.instagram.com/thecrab_eunsung/,"예약, 단체 이용 가능, 포장, 배달, 남/녀 화장실 구분, 유아의자, 대기공간, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240901_250%2F1725143471737QXGon_JPEG%2F1000003211.jpg,월(3/3)대체공휴일(삼일절) 휴무,화11:30 - 22:00,수11:30 - 22:00,목11:30 - 22:00,금11:30 - 22:00,토11:30 - 22:00,일정기휴무 (매주 일요일),35.182703,128.0904296
오사장횟집,생선회,경남 진주시 진주대로960번길 7-2,찾아가는길진주칠암동 천전시장.식자재도매유통 주차장쪽으로보시면  오사장횟집 상호가보입니다,0507-1352-4688,http://instagram.com/,"예약, 포장",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200325_273%2F1585143544393iTGY9_JPEG%2FCgicxS6SGfJ0VZW2TD70Prxi.jpg,월17:30 - 21:30,화17:30 - 21:30,수17:30 - 21:30,목17:30 - 21:30,금17:30 - 21:30,토17:30 - 21:30,일정기휴무 (매주 일요일),35.1859138,128.0884524
연회집 칠암본점,일식당,경남 진주시 동진로38번길 11-1 1층 연회집,찾아가는길가게앞 주차 자리 2자리 있습니다!! 고속 버스 터미널에 내려 안쪽으로 쭈욱 걸어오다 보시면 대학꽃집사거리가 나옵니다! 쭈욱 걸어오시면 도리명가 옆 크게 자리 하고 있습니다! 경상대병원에 내렷다면 똑같이 대학꽃집 사거리에서 쭈욱 걸어 내려오시면 도리명가 옆 크게 자...내용 더보기,0507-1307-1387,https://blog.naver.com/yeonhoe_offcial,"무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능, 포장, 배달, 주차",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEyMDlfNzgg%2FMDAxNzMzNzU2MDI5NDc2.NWk_8s472U85gN5bk337mbA551X98ooMF6eD3HXbI88g.xLER17iYXD2GFQzsVHmPmT3xrlKHkqySy8KwCt0JZKog.JPEG%2F900%25A3%25DF20241208%25A3%25DF193304.jpg,월정기휴무 (매주 월요일),"화18:00 - 02:00
01:00 라스트오더","수18:00 - 02:00
01:00 라스트오더","목18:00 - 02:00
01:00 라스트오더","금18:00 - 02:00
01:00 라스트오더","토18:00 - 02:00
01:00 라스트오더","일18:00 - 02:00
01:00 라스트오더",35.1785115,128.0957619
권돼지국밥,국밥,경남 진주시 강남로189번길 23,,055-753-7807,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEwMzBfOTUg%2FMDAxNzMwMjY5MDc0MDQ1.HoARbl5Qke5ckP1N9VWS58_CFU_bHoGNMHGOl548cG4g.P3d0DXAA7C_23KgbbxI6eqkBFeWuQsje8BT2i7cwZ0Ig.JPEG%2F20241029%25A3%25DF184145.jpg,월정기휴무 (매주 월요일),화정기휴무 (매주 화요일),"수10:00 - 20:00
15:00 - 17:00 브레이크타임","목10:00 - 20:00
15:00 - 17:00 브레이크타임","금10:00 - 20:00
15:00 - 17:00 브레이크타임","토10:00 - 20:00
15:00 - 17:00 브레이크타임","일10:00 - 20:00
15:00 - 17:00 브레이크타임",35.1840966,128.0922115
아웃백스테이크하우스 경남진주점,패밀리레스토랑,경남 진주시 진주대로 864,"찾아가는길구진주역 사거리에서 경상대방면, 고려병원과 다이소 사이에 위치. 진주고속터미널에서 구진주역 방향으로 도보 30m 거리에 위치.내용 더보기",0507-1306-5721,https://www.outback.co.kr,"예약, 포장, 남/녀 화장실 구분, 배달",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzEyMjRfMTE3%2FMDAxNzAzNDA3Mzk4NzE0.w4kSMp7LV1VGybp30Za_6t_y5yAklIT2o-5g3C3snTUg.L9YWGVEuZfCmzpIBgV3gjpF4r3WxdPAtRbCGirZT1_Yg.JPEG.jhy6596%2F1703406571266.jpg,"매일11:00 - 21:30
20:30 라스트오더",,,,,,,35.1776831,128.0919923
도심속산장,요리주점,경남 진주시 동진로34번길 4 2층,찾아가는길진주시 동진로 34번길 4 2층 (흐루 2층입니다) -경상국립대 칠암캠퍼스 정문 도보 5분거리입니다 -경상국립대 술집 메인거리 흐루 2층 -진주 시외버스터미널 도보 5~10분 거리입니다 -주차자리가 협소해 도보나 대중교통 이용을 추천 드립니다 (전화 주시면 자리 있는지 봐드...내용 더보기,0507-1467-2489,,"단체 이용 가능, 주차",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEyMTNfMjQg%2FMDAxNzM0MDk3MzgxODcy.7SKc9b7nQ1wPcYskYDNhvCAYn9roLUf9gHlRjEuyOogg.vdRo7F9mYbSP07gjxo65CUdlz-bEdZ9VpsDNI_mUgPYg.JPEG%2FIMG_0180.jpg,"월18:00 - 03:00
01:30 라스트오더","화18:00 - 03:00
01:30 라스트오더","수18:00 - 03:00
01:30 라스트오더",목정기휴무 (매주 목요일),"금18:00 - 03:00
01:30 라스트오더","토18:00 - 03:00
01:30 라스트오더","일18:00 - 03:00
01:30 라스트오더",35.1786527,128.0947639
처프트,"스파게티,파스타전문",경남 진주시 강남로201번길 9 처프트,"찾아가는길찾아오는 길 처프트는 경남 진주시 칠암동에 위치하며, 경남문화예술회관 바로 맞은편에 있습니다. 진주 도심에서 접근성이 뛰어나며, 문화예술회관 방문 후 식사를 즐기기에 최적의 장소입니다. * 대중교통:     1. 버스 - 경남문화예술회관 정류장에서 하차 후 도보 2분 거리.   ...내용 더보기",055-758-0620,https://www.instagram.com/chuffed_.official,"무선 인터넷, 포장, 단체 이용 가능, 배달, 예약, 간편결제",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA4MTNfMjEz%2FMDAxNzIzNTIyMjgwMjY3.uFtCBqqi2YqvC4E3rDdcnWGSNUqeBWSz5KbJyFG39DMg.S_9u2oxFwUMq_uXNTPHNJwL9ext72T2upEwqBOLXPNIg.JPEG%2FKakaoTalk_20240813_113738791_21.jpg,"매일11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더",,,,,,,35.1855597,128.0928908
샐러든 진주칠암본점,"다이어트,샐러드",경남 진주시 진주대로920번길 18 1층,"찾아가는길1) 자가용 이용시 네이버, 네이버지도 네비게이션에 샐러든 을 검색 또는 진주대로920번길 18 을 검색 [주차정보] 매장앞 왕복 2차선 주차라인 빈공간 매장 주변 골목 [주차단속 지역] 매장앞 왕복 2차선 도로 * 매장앞 왕복 2차선 도로 외 주변 골목은 주차단속 제외 지역 2) 도...내용 더보기",0507-1323-9456,https://www.instagram.com/saladen_jinju,"단체 이용 가능, 포장, 배달, 방문접수/출장, 예약, 무선 인터넷",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTAxMTZfMzcg%2FMDAxNzM2OTkzOTExNDc3.eCqhyrVNUMxK32QSMI_yTpiKBYzIyEK3EaGg-gh_cQ4g.g3wu7GuZIIN9knwlYcc0w6CXQNsbzrY8svrhlK_S-ksg.JPEG%2FIMG_8234.jpg,"월11:00 - 21:00
20:00 라스트오더","화11:00 - 21:00
20:00 라스트오더","수11:00 - 21:00
20:00 라스트오더","목11:00 - 21:00
20:00 라스트오더","금11:00 - 21:00
20:00 라스트오더","토10:30 - 21:00
20:00 라스트오더",일정기휴무 (매주 일요일),35.182705,128.0912034
쿄우라멘,일식당,경남 진주시 진주대로908번길 6 쿄우라멘,,055-758-8177,https://www.instagram.com/kyowoo_ramen?igsh=MnZ0c3F2bHo3cTFw&utm_source=qr,"포장, 배달",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEwMjFfMjY0%2FMDAxNzI5NTE1MzY1Nzgw.SDtFYOvCss9JFRIpb-8mvUimxLM3u1k4QcuCXBmatg4g.6-W-lm4iyED6BqY-gI6xFa7UMvIJmQGTTY0MWB4z4Owg.JPEG%2FKakaoTalk_20241021_211243882_05.jpg,"매일10:00 - 20:30
20:00 라스트오더",,,,,,,35.1814617,128.0906177
콩세상웰빙솥밥,한식,경남 진주시 진주대로920번길 11-6,"찾아가는길미르치과에서 강변방향으로 두 블럭, 고물상에서 좌회전(천전시장방향)",055-755-5571,,"예약, 단체 이용 가능, 주차, 포장, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200708_286%2F1594181658439EWo6T_JPEG%2FT2O6uwv2A7VHDDWE16zn9IL-.jpg,"월10:30 - 20:30
20:00 라스트오더","화10:30 - 20:30
20:00 라스트오더","수(3/5)정기휴무 (매달 1, 2, 3, 5번째 수요일)","목10:30 - 20:30
20:00 라스트오더","금10:30 - 20:30
20:00 라스트오더","토10:30 - 20:30
20:00 라스트오더","일10:30 - 20:30
20:00 라스트오더",35.1831188,128.0904396
남가람청국장마을,"찌개,전골",경남 진주시 강남로227번길 12,,055-755-2507,,주차,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200604_192%2F1591245831470mMO0a_JPEG%2FoCVv8GksK7FPRYFhr9NVv9HV.jpg,월11:00 - 21:00,화11:00 - 21:00,수11:00 - 21:00,목11:00 - 21:00,금11:00 - 21:00,토11:00 - 21:00,일11:00 - 21:00,35.1872959,128.090708
