rest,Rest_id,alone,date,delicious,fresh,goodValue,hygiene,kindness,many,mood,parking,recent
1004화로구이 호탄점,G1,0,1,130,187,115,0,47,90,10,1,26
1440수제돈까스,C1,40,4,124,57,45,5,51,25,19,4,43
1980밀면회관,G2,0,0,0,0,0,0,0,0,0,0,0
1989 역전꼬마김밥 진주점,C2,122,0,165,0,145,0,61,0,0,0,0
24시진전주콩나물국밥,G3,0,0,87,27,62,0,0,19,0,0,0
57번포장마차,C3,0,0,0,0,0,0,0,0,0,0,0
60계치킨 진주가호점,G4,2,1,104,14,23,1,27,48,4,2,15
6호토스트&크로앙,G5,24,0,115,31,66,0,49,3,6,4,9
79대포 진주경상대점,G6,0,0,65,0,43,0,22,0,0,0,0
7번가피자 신진주역점,G7,0,0,56,24,38,0,20,0,0,0,0
937 진주가좌본점,G8,0,0,215,0,0,0,81,0,138,0,0
9992누룽지통닭,G9,0,0,269,0,105,0,110,131,0,0,0
BBQ치킨 가호점,G10,0,1,44,20,11,0,17,10,1,1,6
BBQ치킨 진주칠암점,C4,0,0,37,10,6,0,7,0,0,0,0
BHC치킨 진주경상대점,G11,0,0,74,0,0,0,23,56,0,0,22
CAFE 베네치아,G12,0,0,0,0,0,0,0,0,0,0,0
Cafe봄봄,C5,0,0,5,0,2,1,6,0,1,1,1
ON TAP,G13,6,0,18,0,5,15,29,5,24,0,9
TALE coffee,G14,0,0,110,0,17,23,33,1,31,0,26
The 달콤한 하루,G15,0,0,77,1,8,19,31,0,9,0,13
YOLO,G16,0,0,32,9,14,0,0,11,17,0,0
가마솥옛날시골통닭&호프신진주역점,G17,0,0,27,4,14,0,13,0,0,0,4
가마솥추어탕,C6,0,0,38,17,19,0,8,0,0,0,0
가마치통닭 과기대점,C7,0,0,49,19,53,0,28,0,0,0,0
가마치통닭 진주과기대점,C8,0,0,28,5,21,0,5,0,0,0,0
가야숯불가든,G18,2,2,166,64,56,1,67,35,23,9,34
가야시락국밥,C9,7,0,12,3,10,0,4,0,0,0,0
가장맛있는족발 진주호탄점,G19,0,3,44,15,13,1,26,10,3,2,13
가좌식육점식당,G20,1,0,21,20,4,0,11,2,0,5,5
간이역 신진주역점,G21,0,0,36,0,14,14,19,0,0,0,0
간이역 칠암역점,C10,0,0,0,0,0,0,0,0,0,0,0
갈치를벗삼아,G22,2,2,57,26,17,0,23,6,2,4,8
감성포차 너에게취하기좋은밤,G23,1,0,18,8,7,0,9,1,12,0,0
갓튀긴후라이드 가호점,G24,0,0,18,6,17,0,9,0,0,0,0
개양옥,G25,0,0,250,216,86,0,98,130,0,0,0
개척돈가스,G26,0,0,356,184,331,0,88,0,0,0,0
