업소명,위생등급제 가게,재방문률이 높은,최근에 자주가는,맛있는,가성비,깔끔하고 분위기가 좋은,신선한,친절한,혼밥,칠암동,가좌동
937,,,,1,,1,,,,,1
(유)아웃백스테이크하우스코리아 진주점,1,,,,,,,,,1,
105실내포차,,,,,,,,,,,
1440수제돈까스,,,,,,,,,,1,
1989역전꼬마김밥(진주점),,,,,,,,,,1,
32온스커피(32oz COFFEE),,1,,,,,,,,1,
3팝(POP)플러스,,,,,,,,,,1,
57포차,,,,,,,,,,1,
6호토스트앤크로앙,,,,,,,,,,,1
79대포 경상대점,,,,,,,,,,,1
7번가피자신진주역점,,,,,,,,,,,1
88포장마차 경상대점,,,,,,,,,,,1
9992누룽지통닭,,,1,1,,,,1,,,1
GS25신진주시티점,,,,,,,,,,,1
GS25진주산업대점,,,,,,,,,,1,
GS25진주칠암강변점,,,,,,,,,,1,
The(더:)김밥,,,,,,,,,,,1
스시하루,,,1,,,,,,,,1
가가(GAGA),,,,,,,,,,,1
가람다례원,,,,,,,,,,,
가마솥옛날시골통닭&호프,1,,,,,,,,,,1
가마솥추어탕,,1,,,,,,,,1,
가마치옛날통닭,,,,,,,,,,1,
가야숯불가든,,,1,,,1,,1,,,1
가야시락국밥,,,,,,,,,,1,
가좌식육점식당,,,,,,,,,,,1
가향,,,,,,,,,,1,
간이역 신진주역점,,,,,,,,,,,1
간이역 칠암역점,,,,,,,,,,1,
간이역육거리점,,,,,,,,,,,
감성커피 진주강남점,,1,,,,,,,,,
강남동동주,,,,,,,,,,,
강남빈대떡,,,,,,,,,,,
강남토스트,,,,,,,,,,,
강다짐경상대점,,,,,,,,,,,1
개척돈가스,,,1,1,1,1,,1,,,1
개척수산,,,1,1,1,1,,1,,,1
개척초밥,,,1,1,1,,,1,,,1
거림,,,1,1,,,,,,1,
거북이구들장구이,,,,,,,,,,,1
거제횟집,,1,,,,,,,,1,
거창추어탕,,,,,,,,,,1,
건대시마다,,,,,,,,,,,1
경대족발,,1,,,,,,,,,1
경대컵밥과기대칠암점,,,,,,,,,,1,
경대튀김,,1,1,,,,,,,,1
경상대명물 남매컵밥,,,,,,,,1,,,1
경아식당,,,1,1,,,1,1,,,1
고구려,,,1,1,,,,,,1,
고량진미,,,,,,,,,,,1
고마흑돼지,,,,,,,,,,1,
고메,,,1,1,,1,,1,,,1
고봉민김밥,,,,,,,,,,,1
고슴도치분식,,,,,,,,,,,1
고씨네,,,,,,,,,1,,1
고피자,,,,,,,,,,,1
고향보리밥,,,,,,,,,,,1
고향집,,,,,,,,,,1,
골목대장,,,,,,,,,,,1
카페 뮈렌,,,,,,,,,,,
공차진주경상대점,,1,1,,,,,,,,1
공차진주과기대점,,1,,,,,,,,1,
공학관점카페,,,,,,,,,,,1
광화어탕,,1,,,,,,,,1,
교육문화센터카페(교육카페),,,,,,,,,,,1
교촌치킨칠암망경점,,1,,,,,,,,1,
구포국수,,,,,,,,,,,
국수나무가좌점,,,,,,,,,,,1
국수나무칠암점,,,,,,,,,,1,
국수타임,,,,,,,,,,,1
굽네치킨 가호점,,,,,,,,,,,1
굿데이구디스,,,,,,,,,,,1
권돼지국밥,,1,,1,,,,,,1,
그린스미스샌드베이 경상국립대점,,1,,1,,,,,,,1
금수추어탕,,,,,,,,,,1,
금오식육식당,,,,,,,,,,1,
기기커피 경상대점,,,,,,,,,,,1
김밥한끼,,,,,,,,,,,1
김씨네라멘트럭,,,,,,1,,,,,1
까사데아미고경상국립대점,,,1,1,1,1,,1,,,1
깨미닭,1,,,,,,,,,,1
꼬꼬아찌진주경상대점,,,,,,,,,,,1
꼬밥,,1,,,,,,,,1,
꼴통막창,,,,,,,,,,,1
꾸깃꾸깃,,,,,,,,,,,1
꾸븐제주오겹살,,,,,,,,,,,1
끄티식당,,,,,,,,,,,1
나그네김밥,,,,,,,,,,,1
나영이네집밥,,,,,,,,,,,1
날마다짬뽕,,1,,,,,,,,1,
남가람청국장마을,,,,,,,,,,1,
남강숯불갈비,,,,,,,,,,1,
남강횟집,,,,,,,,,,1,
남강회초밥,,,,,,,,,,1,
남매컵밥,,,1,1,1,,,,1,1,
남산전당,,,,,,,,,,,
남촌손칼국시,,,,,,,,,,1,
남해물회,,,,,,,,,,1,
내고향생초어탕,,,,,,,,,,,
네네치킨,,,,,,,,,,,
노가네충무김밥 신진주역점,,,,,,,,,,,1
노다지(민속주점),,,,,,,,,,1,
노랑통닭 가좌점,,,,,,,,,,,1
노상,,,,,,,,,,1,
놀부부대찌개,1,,,,,,,,,1,
놀숲,,1,1,,,,,1,,,1
느리고바르게디저트카페,,,,,,,,,,,1
느티마루점,,,,,,,,,,,1
니도(Nido),,,,1,,1,,,,,1
다드림,,,,,,,1,,,,1
다유희,,,,,,,,,,,1
달구지막창강남점,,,,,,,,,,,
닭사랑춘천닭갈비,,,,,,,,,,1,
닭사리오,,,,,,,,,,,1
담다올,,,,,,,,,,,
당신은지금치킨이땡긴다 경상대점,,,,,,,,,,,1
대동식당,,,,,,,,,,1,
대만반점,,,,,,,,,,,
대복갈비살,,1,,,,,,,,1,
대복갈비살,,,,,,,,,,1,
대봉식당,,,,,,,,,,,
대지식당,,,,,,,,,,1,
대학로김밥,,,,,,,,,,1,
대호분식,,,,,,,,,,,1
더(The)술,,,,,,,,,,,1
더달콤한하루,,,,,,,,,,,1
더만족,,,,,,,,,,,1
더벤티경상대점,,1,,,,,,1,,,1
더벤티경상대정문점,,,,,,,,,,,1
더벤티과기대점,,,,,,,,,,1,
더벤티신진주역점,1,,,,,,,,,,1
더새론갈비,,,,,,,,,,,
더웨이닝커피,,,,,,1,,,,,1
더웨이닝커피 바른병원점,,,,,,,,,,1,
더카페(THE CAFE) 다올,,,,,,,,,,,1
더프룻(The fruit),,,,,,,,,,,1
더홀릭,,,,,,,,,,,1
델브리또,,,,,1,,,,,,1
도미노피자(진주 경상대점),1,,,,,,,,,,1
도복희상회 경상대점,,,,,,,,,,,1
도스마스경상대점,,,,,,,,,,,1
돈갈비,,1,,,,,,,,,1
돈바리,,,,,,,,,,,
돈우하우스,,,,,,,,,,,
돈카츠마켙 가호점,,,,,,,,,,,1
동궁찜닭,,,1,1,,,,1,,,1
동네커피 가호점,,1,,,,1,,1,,,1
동네커피 신진주역점,,,,,,,,,,,1
동네커피 칠암점,,,,,,,,,,1,
동아반점,,,,,,,,,,1,
동향,,,,,,,,,,,1
돼지랑순대랑,,,,,,,,,,,1
두레박칼국수,,,,,,,,,,,
두스두스(doucedouce),,1,,,,,,,,,1
